Date, Open, High, Low, Close, Volume
12/04/13, 12465, 12465, 12225, 12225, 75
12/03/13, 12345, 12345, 12220, 12220, 134
11/29/13, 12340, 12340, 12340, 12340, 32
11/28/13, 12345, 12345, 12340, 12340, 28
11/27/13, 12330, 12330, 12330, 12330, 11
11/26/13, 12300, 12540, 12300, 12540, 292
11/25/13, 12250, 12300, 12250, 12300, 205
11/22/13, 12215, 12280, 12200, 12200, 153
11/21/13, 12310, 12310, 12000, 12065, 1080
11/20/13, 12350, 12450, 12300, 12300, 440
11/19/13, 12500, 12500, 12315, 12330, 560
11/18/13, 12400, 12810, 12400, 12500, 171
11/15/13, 12500, 12500, 12500, 12500, 40
11/14/13, 12500, 12500, 12500, 12500, 160
11/13/13, 12700, 12700, 12355, 12360, 1204
11/12/13, 12610, 12610, 12450, 12450, 27
11/11/13, 12850, 12850, 12410, 12410, 36
11/08/13, 12515, 12515, 12360, 12360, 40
11/07/13, 12700, 12700, 12700, 12700, 5
11/06/13, 12605, 12995, 12605, 12880, 313
11/04/13, 12595, 12595, 12595, 12595, 2
10/31/13, 12500, 12600, 12500, 12600, 180
10/30/13, 12400, 12500, 12355, 12500, 221
10/28/13, 12490, 12490, 12490, 12490, 17
10/25/13, 12395, 12400, 12395, 12400, 12
10/24/13, 12380, 12400, 12380, 12400, 146
10/22/13, 12350, 12350, 12350, 12350, 138
10/21/13, 12355, 12495, 12350, 12495, 14
10/17/13, 12355, 12355, 12350, 12350, 5
10/16/13, 12400, 12400, 12350, 12355, 58
10/15/13, 12500, 12500, 12405, 12405, 123
10/14/13, 12500, 12500, 12500, 12500, 6
10/11/13, 12495, 12495, 12495, 12495, 20
10/10/13, 12355, 12500, 12350, 12500, 122
10/09/13, 12355, 12355, 12350, 12350, 12
10/08/13, 12300, 12450, 12255, 12300, 103
10/07/13, 12485, 12495, 12485, 12495, 113
10/04/13, 12240, 12490, 12240, 12490, 66
10/03/13, 12450, 12500, 12450, 12500, 144
10/02/13, 12350, 12350, 12350, 12350, 75
10/01/13, 12340, 12340, 12340, 12340, 87
09/30/13, 12350, 12350, 12350, 12350, 54
09/27/13, 12500, 12500, 12500, 12500, 20
09/26/13, 12300, 12300, 12300, 12300, 101
09/25/13, 12320, 12320, 12300, 12300, 180
09/23/13, 12400, 12580, 12400, 12580, 31
09/20/13, 12400, 12400, 12400, 12400, 43
09/19/13, 12305, 12305, 12155, 12155, 150
09/18/13, 12495, 12600, 12495, 12555, 308
09/17/13, 12495, 12495, 12495, 12495, 26
09/13/13, 12680, 12685, 12600, 12600, 11
09/12/13, 12265, 12265, 12180, 12180, 676
09/11/13, 12350, 12350, 12300, 12300, 441
09/10/13, 12500, 12500, 12500, 12500, 2
09/09/13, 12505, 12505, 12300, 12325, 195
09/06/13, 12500, 12685, 12500, 12685, 56
09/05/13, 12495, 12500, 12400, 12500, 582
09/04/13, 12745, 12750, 12350, 12495, 65
09/03/13, 12405, 12500, 12405, 12500, 68
09/02/13, 12480, 12500, 12475, 12475, 274
08/30/13, 12395, 12480, 12395, 12475, 300
08/29/13, 12330, 12350, 12330, 12340, 116
08/27/13, 12100, 12330, 12100, 12205, 529
08/26/13, 12250, 12490, 12055, 12055, 203
08/23/13, 12200, 12560, 12200, 12300, 38
08/22/13, 12345, 12700, 12000, 12250, 404
08/21/13, 13200, 13200, 12960, 13120, 258
08/16/13, 13200, 13200, 13010, 13010, 67
08/15/13, 13050, 13240, 13050, 13070, 542
08/14/13, 13000, 13000, 13000, 13000, 100
08/13/13, 13100, 13100, 13000, 13000, 415
08/09/13, 13250, 13250, 13100, 13100, 26
08/08/13, 13250, 13275, 13100, 13275, 58
08/07/13, 13100, 13230, 13100, 13230, 54
08/06/13, 13250, 13250, 12955, 13230, 109
08/05/13, 13270, 13270, 12905, 12905, 152
08/01/13, 13270, 13300, 13005, 13290, 570
07/31/13, 13095, 13150, 13050, 13050, 137
07/30/13, 12930, 13000, 12910, 13000, 214
07/29/13, 13260, 13260, 13000, 13100, 273
07/26/13, 13275, 13280, 13100, 13100, 22
07/25/13, 13075, 13200, 13000, 13150, 304
07/24/13, 13100, 13100, 13090, 13100, 20
07/23/13, 13100, 13100, 13075, 13100, 69
07/22/13, 13020, 13055, 13000, 13055, 106
07/19/13, 13020, 13060, 13020, 13020, 380
07/18/13, 13100, 13100, 13025, 13025, 172
07/17/13, 13120, 13120, 13110, 13120, 78
07/16/13, 13100, 13110, 13090, 13110, 118
07/15/13, 13050, 13050, 13015, 13015, 100
07/12/13, 13115, 13280, 13110, 13280, 55
07/11/13, 13195, 13290, 13080, 13290, 134
07/10/13, 13000, 13105, 12910, 13105, 186
07/09/13, 13100, 13100, 12605, 13050, 433
07/08/13, 13140, 13150, 13140, 13150, 66
07/05/13, 13200, 13200, 13065, 13085, 296
07/04/13, 13200, 13200, 13200, 13200, 6
07/03/13, 13200, 13200, 13085, 13100, 594
07/02/13, 13170, 13170, 13075, 13075, 179
07/01/13, 13070, 13100, 13065, 13065, 119
06/28/13, 13150, 13150, 13100, 13100, 296
06/27/13, 13285, 13285, 13065, 13065, 96
06/26/13, 13040, 13040, 13040, 13040, 1
